description,points,price,state,region,variety
"This bottling, sourced from the popular Tondre's Grapefield, is imbued with the scents and tastes of passionfruit. Fleeting spearmint and picked pear characters also arise on the nose, while apple tart flavors emerge midpalate. But passionfruit rules the day, and that's not a bad thing at all.",91,27,California,Santa Lucia Highlands,Chardonnay
"Very, very few wineries make pure varietal Counoise, and none any better than this outstanding example. Tasting a bit like Grenache, a bit like Pinot Noir, but different from either, this fresh wine bursts with berries and tongue-tickling acidity. A hint of vanilla cream runs through the finish.",91,25,Washington,Red Mountain,Counoise
"Scents of butterscotch candies, vanilla custard, apple mousse and sea salt greet the nose in a subtle manner on this wine by Steve Clifton. The palate is framed with bright acidity and tight minerality, with almonds and pecans slowly emerging toward a dynamic finish of white truffle and nectarine. It's a very intriguing, lovely wine.",93,22,California,Santa Ynez Valley,Tocai Friulano
"An aromatic wine with abundant notes of ripe white peach, apricot, mineral and flowers. It drinks off dry (10.7 g/L residual sugar) with a pleasing sense of tension between the acid and stone fruit flavors leading to a long, persistent finish.",91,18,Washington,Ancient Lakes,Riesling
"An unabashed California Chardonnay with buttery aromas, sunny fruit flavors of ripe pear and peach, and a lingering finish that hints at vanilla and cream. Fresh acidity and a light touch of oak keep the texture lively and refresh the palate. FEL is a cool-climate line of wines from Napa's Lede Family Wines.",91,28,California,Anderson Valley,Chardonnay
"There's a slightly pink hue to this wine from Lompoc's Norman Yost. The nose is bright and minerally, with strawberry, apple cider and slight watermelon aromas. There's even more going on once sipped, with pear spritzer and citrus zest playing along with gray rocks and elements both bitter and sour. It's a refreshing take on a grape that doesn't always get the rock star treatment.",91,22,California,Santa Maria Valley,Pinot Gris
"A blend of seven grapes—a mix of Bordeaux and Rhône varieties—this is a delicious mash-up, showcasing vivid, forward, spicy berry fruit flavors. Along with the juicy acidity come highlights of dark chocolate and clean earth.",91,16,Washington,Columbia Valley (WA),Red Blend
"Wine industry veteran Crawford Malone turns the attention of his brand, which is named after a pruning knife, to a Syrah-Grenache-Petite Sirah blend of varying vintages. This starts with roasted fennel and wildfire scents, but then the prettier rose petals aromas of the Grenache emerge. It's very soft, almost massaging on the tongue. The complex flavors bounce between herbs and flowers and fruit, corresponding almost exactly to the characters of the three components.",91,20,California,Santa Barbara County,Rhône-style Red Blend
"At first, there's a slight green herb funkiness of sharp dill on the nose of this single-vineyard offering from the Jackson Family-owned Cambria brand, where Santa Maria native Denise Shurtleff has made the wine since 1999. Once sipped, that evolves into a nice smokiness that sits atop tart green apple and Asian pear.",91,22,California,Santa Maria Valley,Chardonnay
"Packaged in a sexy, Champagne-style bottle, this 100% Grenache is firm and substantial. It underscores fruit flavors of peach, apricot and melon with appealing minerality.",91,22,Washington,Columbia Valley (WA),Rosé
"A blend of Sangiovese (70%), Cabernet Sauvignon and Merlot, it brings an abundance of sweet barrel notes of vanilla, coconut and baking spices along with earth tones and dried cherries. The fruit flavors are ripe and sweet, backed by firm tannins and tart acidity.",91,29,Washington,Wahluke Slope,Red Blend
"This estate-grown offering was a standout among several dozen tasted for a feature story. It's loaded with bright fruit flavors of grapefruit and pear, and even in the warm 2012 vintage, it maintains the grape's signature minerality, while moving gracefully into a detailed, focused finish.",92,18,Oregon,Eola-Amity Hills,Pinot Blanc
"This is a crisp and bracing wine, that pops with bright citrus and wet stone flavors. It's fully ripe, but leans toward greener flavors, with accents of cucumber and celery. The freshness and outstanding palate presence suggest drinking this wine within a couple of years of release.",90,18,Oregon,Umpqua Valley,Sauvignon Blanc
"Here is a well-priced example of the outstanding 2014 Oregon Pinots. Black cherry and pomegranate fruits make for a juicy fresh fruit-driven palate. There's a touch of cola and caffè latte as well. It's seen 20% new French oak, to good effect.",90,26,Oregon,Willamette Valley,Pinot Noir
"A steal for its price, this wine is refreshingly quaffable, with a sublimely textured palate of preserved lemon and nectarine. It's both lush and surprisingly complex.",90,15,California,Sonoma County,Sauvignon Blanc
"A classic Zinfandel with its unmistakable spice aroma and wild berry flavor, this is dry and tannic enough to provide balance. Medium bodied, it packs plenty of flavor and an appetizing mouthfeel.",90,25,California,Mendocino,Zinfandel
"Round dark strawberry, mulberry and pound cake aromas show on the nose of this appellation blend from winemaker Eric Laumann. Bright raspberry and strawberry fruits show on the palate, lifted by sage and bay leaf notes and framed by a structure of mouth-cleansing tannins.",90,22,California,Santa Lucia Highlands,Pinot Noir
"This wine is impressive in its full-bodied approach to the variety, allowing it ample expression of garrigue and gamy bacon scents. Layered acidity keeps it from feeling overly dense and ripe, ending on a smoky oak note.",90,19,California,Los Carneros,Syrah
"Roughly half estate-grown Tempranillo, this smooth and deeply-fruited red includes small amounts of 10 other grapes. For all that it's complete, complex and composed, with pomegranate jam, loganberries, polished tannins and prolonged power. Drink now through 2020.",90,18,Oregon,Umpqua Valley,Red Blend
"Very little Auxerrois is grown in Oregon, and the earliest plantings, the owners note, were here at Zenith. This could be mistaken for a Chardonnay, with ripe melon, peach and banana fruit matched to rounded out flavors of butter and caramel. It was barrel fermented and put through malolactic, much like a fine Chardonnay.",90,27,Oregon,Eola-Amity Hills,Auxerrois
"This standout blend—the best from this winery to date—is 68% Merlot, 16% Cabernet Sauvignon, 14% Cabernet Franc and 2% Petit Verdot. It offers a complex assortment of cocoa, pencil lead, tomato leaf, mocha, cherry and herb aromas. The café au lait flavors are silky soft and concentrated, framed by bright acidity and showing an exquisite sense of balance and texture that carries through the lingering finish.",92,26,Washington,Columbia Valley (WA),Bordeaux-style Red Blend
"Earthy cherry and wild strawberry notes form the core of this deep, concentrated and yet not overly dense wine. Herbal and teasingly tart as it shifts from midpalate to finish, it offers a last splash of nutmeg on the finale.",92,27,California,Carneros,Pinot Noir
"Delicate layers of smoke, vanilla and spice lavish this textured Chardonnay that's remarkably light on its feet. Fermentation in a variety of oak barrels lends nuance to bright apple, pear and honeysuckle notes on the palate and mouthfeel that's rich, creamy and round. Brisk acidity cuts through the finish.",91,16,New York,Finger Lakes,Chardonnay
"Gewürztraminer doesn't get any more floral and spicy than this. Exuberantly aromatic, it conveys a sensuous perfume of baby powder, rose petals and lavender. The floral characteristics continue in the mouth, yielding a long, intense, detailed and unique wine. Sip it chilled and have fun experimenting with food matches!",91,15,Washington,Yakima Valley,Gewürztraminer
"This is 100% Riesling from the up-and-coming Ancient Lakes AVA. Residual sugar is around 10 g/L, but it's fruit-driven and just slightly off dry, with the fresh acidity and minerality which typify this vineyard's Rieslings. Vibrant with flavors of pineapple, orange flesh and peel, this food friendly wine could be cellared until 2019.",91,18,Washington,Columbia Valley (WA),Riesling
"This young wine is classic and spicy, with still-yeasty aromas of pear and apple. The flavors are focused, with vivid, lightly lemony acidity underscoring highlights of beeswax and flowers.",91,18,Washington,Columbia Valley (WA),Sauvignon Blanc
"Mourvèdre provides a leathery backbone to an otherwise very fruit-driven wine from pioneering Paso Robles producer Adelaida. Graphite and pomegranate lead the aromas. On the palate, the medium-, almost light-bodied wine features purple flowers, raspberry, and more pomegranate, with a surprisingly strong acidity that delivers refreshing verve. This versatile wine could pair with everything from Chinese food and tacos to marinated skirt steak and chicken soup.",91,25,California,Paso Robles,Mourvèdre
"Burgundy in color, this soft, lush wine opens with seductive red berry fruit before delving into a velvety texture and forest floor earthiness. There's a luxurious quality to this wine, shockingly fair priced, amid enviable structure and balance. On the finish, there's a fine leathery coating on the tongue.",91,29,California,Russian River Valley,Pinot Noir
"Scents of peach and melon are layered with deep mineral tones on this gorgeously aromatic Riesling. The palate is lavish, with stone fruit and blossom flavors, yet it's steely and dry, with a waxy richness that lends volume and power to the finish. This is elegance epitomized.",91,19,New York,Finger Lakes,Riesling
"From the folks behind Roederer Estate, its premier producer of sparkling wine, is this gorgeous still Chardonnay, clean, complex and crisp with a heady perfume of luscious pear and honey. Decadent and yet restrained, the mouthfeel is mellow, a touch decadent, with just the suggestion of its time in barrel.",92,28,California,Anderson Valley,Chardonnay
"This estate-grown, single-vineyard Pinot Blanc is succulent, tart and tangy, with lightly spicy citrus, kiwi and starfruit flavors. The lingering finish, lightly flecked with dried herbs, shows amazing grip and texture, with a mineral ridge across the mid palate. Great elegance and length.",92,17,Oregon,Willamette Valley,Pinot Blanc
"This is a pretty, floral and balanced wine, elegantly austere in preserved lemon, yuzu and grapefruit, with richer overtones that build on the medium-body toward the lengthy finish. A wine made for the table, it'll pair well and widely, though it can also stand deliciously on its own.",93,20,California,Russian River Valley,Chardonnay
"A fairly priced varietal wine, this shows currant, cranberry, raisin and a flurry of allspice on the nose. It takes on rose petal and lavender aromas as it opens, making it all the more pleasant and memorable.",90,29,California,Russian River Valley,Pinot Noir
"There is a lot going on in this unique, affordably priced blend of 36% Pinot Noir, 28% Syrah, 27% Merlot and 9% Zinfandel—underripe mulberry, thyme, crushed pepper and fennel aromas on the nose. It balances well on the palate, where bright acidity and textural tension hold the boysenberry, anise and lavender flavors together.",90,28,California,Monterey,Red Blend
"Extremely pungent yet not overdone aromas of ruby red grapefruit, tropical flowers and passion-fruit juice show on this great interpretation of the often sweet-leaning grape. Despite the showy nose, it's quite tight and dry on the palate, with flavors of pear and apple skins, lime rinds and yellow grapefruit.",92,26,California,Santa Ynez Valley,Malvasia Bianca
"Demure in stature yet brooding with power, this late-release 2012 Riesling is compelling evidence of winemaker Steve Shaw's soft-spoken dynamism. Semidry in style, it's light as a feather, yet richly layered with shades of grapefruit, spice and smoke. While delicious now, it's rigidly structured still, and likely to continue to improve for many years to come.",92,25,New York,Finger Lakes,Riesling
"This blend of 53% Mourvèdre, 42% Grenache and 5% Cinsault mixes up fresh raspberry fruit aromas with mint, light licorice, charred meats, white pepper, lavender and bouquet garni. The palate centers on strawberry and raspberry, balanced by plum-peel tannins and seasoned with sage, anise and chaparral herbs. It's a very versatile Rhône blend.",92,20,California,Santa Ynez Valley,Rhône-style Red Blend
"Deep color, firm tannins and a fine-grained texture set this wine apart. It smells fresh and sophisticated, with bright cranberry and rich black-cherry notes shaded by cinnamon and nutmeg. This should stand up to the richest rack of lamb and age well, too. It's tempting to drink now, but should improve through at least 2018.",92,24,California,Red Hills Lake County,Malbec
"Bone dry and concentrated, it was fermented in a mix of stainless steel and neutral oak. Lush floral and citrus aromatics carry over into the flavors, with a streak of Curaçao liqueur as well.",90,14,Washington,Columbia Valley (WA),Riesling
"Fresh, vivid fruit flavors pop from this light-colored, well-balanced, mouthwatering wine. Ripe pear, crisp apple and a touch of baking spices mingle on the palate and linger on the finish.",90,16,California,Potter Valley,Chardonnay
"An impressive young Cabernet from a region not well known for Cabs. The first impression is a complex aroma of herb, dark cherry and dark chocolate that continues through to the palate. The texture is laced well with fine, firm tannins that will make it great with rich meat and cheese dishes. Overall it is concentrated and full-bodied, big but balanced.",90,22,California,Sierra Foothills,Cabernet Sauvignon
"Winemaker Ryan Deovlet isn't afraid of prominent oak, so this comes on with a luscious butterscotch nose, and it immediately smells like it will be a silky wine. It is, with accents of vanilla and a touch of bitterness, but the overriding flavor is smokiness, reminiscent of the rustic Mexican liquor, Mezcal. This could easily handle pork carnitas.",90,24,California,Santa Ynez Valley,Rhône-style White Blend
"This is old vine (1978), Wente clone Chardonnay, with bright, spicy fruit flavors of banana, pear and melon. A touch of toast and cracker comes from barrel-fermentation in neutral French oak. Forward and rich, this is one to drink up while it's young and fresh.",90,28,Washington,Yakima Valley,Chardonnay
"The family-owned, Santa Lucia Highlands-focused Wrath Winery produces their Ex Anima line to show off wines from their estate San Saba Vineyard made with very little intervention and no new oak. This wine is nearly as clear as water, and yet offers aromas or freshly cut grass, honeydew melon, kiwi and fresh rain on rocks. On the palate, minerality lingers alongside poached pear and peach. Refreshing and light, yet full of flavor.",90,19,California,Monterey,Sauvignon Blanc
"This is actually Wahluke Slope fruit, though labeled simply Columbia Valley. Tart pomegranate fruit, a seam of clay and well-integrated highlights of herb and earth mark this extremely limited-production wine as special. Dolcetto does not have much of a track record in Washington, but what's here is quite promising.",90,25,Washington,Columbia Valley (WA),Dolcetto
"Though it's 100% varietal, this sports a strong floral streak, as if dominated by Gewürztraminer. Baby-powder scents and accents shift into a fruit core of citrus, with Meyer lemon, oranges and pineapple.",90,16,Oregon,Willamette Valley,Riesling
"Meaty and dense, this full-bodied red is expansive on the palate in well-defined layers of leather, blueberry and black pepper flavor.",90,25,California,Sonoma Valley,Syrah
"A fairly priced varietal wine, this shows currant, cranberry, raisin and a flurry of allspice on the nose. It takes on rose petal and lavender aromas as it opens, making it all the more pleasant and memorable.",90,29,California,Russian River Valley,Pinot Noir
"Ribbon Ridge is making a name for itself as a premier AVA for Oregon Riesling. This rich, mineral-laden wine is scented with orange blossoms and loaded with fruit flavors of Bosc pears, peaches, apricots and a touch of grapefruit. It's big, full bodied, fresh and powerful, and an excellent value.",93,20,Oregon,Ribbon Ridge,Riesling
"Onesta is Jillian Johnson's debut of her own wines; she previously made Cinsault-based reds and rosés for the Phoenix Ranch brand. She is not new, however, to the indelible Bechthold Vineyard and its ancient Cinsault grapes, and her passion and expertise with the site shows gorgeously here. Orange-pink in hue, this beauty shares notes of crushed strawberry that are perfectly in balance with its dry, elegant point-of-view. Sip this one all night long, with food or without.",92,18,California,Lodi,Rosé
"Brander's Sauvignon Blancs are so rich in their own right, they don't even need oak. But when you take a good one, as this is, and add some new French barrels, it becomes even richer. Blended with 35% Semillon, this wine has serious weight and texture, with complex layers of citrus and tropical fruits, buttercream, vanilla and toast. It's a very nuanced white wine, so do not drink it too cold.",92,25,California,Santa Ynez Valley,Semillon-Sauvignon Blanc
"Rich, medium dry, and loaded with lemon, orange and citrus scents and flavors, this is a marvelous wine graced with a lush, textural, mineral-drenched mouthfeel. Despite the low alcohol there is just the gentlest touch of sweetness from 8 g/L residual sugar.",92,28,Oregon,Dundee Hills,Riesling
"Made from a single-vineyard source of Pinot Noir grapes, this lovely pinkish-red wine is a celebration of wild strawberry. Dry, crisp and refreshing, it offers a twist of citrus on the finish and a floral backbone of honeysuckle.",92,25,California,Russian River Valley,Pinot Noir
"This tasty, toasty red wine is all Sangiovese. The tangy red berry fruit flavors carry highlights of peppery herbs. With some air time the wine smoothes out and rolls into a creamy, mocha-infused finish.",90,29,Washington,Red Mountain,Sangiovese
"The first-ever varietal Malbec for Barrister, this captures the vivid core of tart, delicious, juicy and deep raspberry fruit, elevated further with lemony acidity. The wine is penetrating, tart and quite young, but lip-smackingly tasty.",90,28,Washington,Walla Walla Valley (WA),Malbec
"A savory nose of roasted red pepper and marinated black olives makes this wine from the Santa Ynez Valley's first estate winery stand out from the crowd. There are green elements that some may consider unwanted, but the round, peppery spiciness makes for an intriguing, distinctive palate. This would go well with a New York strip and could stand up to prime rib with horseradish.",90,20,California,Santa Ynez Valley,Merlot
"A sophisticated Chardonnay from a winery known for good values. Buttery in aroma, it has a rich texture without being full-bodied, and is appetizingly dry and subtle in fruit flavor. Notes of toasted almond and baking spices come out on the palate and linger on the finish.",90,16,California,Lake County,Chardonnay
"Full-flavored and textured, probably from the use of a Sauvignon Musque Clone for half of the wine, this is nonetheless a light wine, subtle in stone fruit, kiwi and lemon-lime. The acidity has an electricity and bubbliness that almost make it come alive. It's the right wine for fresh-shucked oysters.",90,20,California,Russian River Valley,Sauvignon Blanc
"Sourced from the Blackrock Vineyard, production has quadrupled with no loss of quality. Pale copper, wonderfully aromatic, and showing the muscle and verve of the grape, this artfully melds scents and flavors of rose petals and peaches, with a touch of well-ripened tannin.",90,18,Washington,Yakima Valley,Cabernet Franc
"This seduces with flavors of juicy, ripe berries, spicy plums and black cherries. It delivers the complexity, density and mocha finish of a much more expensive Merlot.",90,10,Washington,Columbia Valley (WA),Merlot
"Rich and floral, this top-notch Pinot Blanc hits the palate with verve and ripe, complex fruit flavors. There's a streak of delicious vanilla under the honeydew and Meyer lemon richness, and the length and power are especially impressive for a Pinot Blanc.",92,21,Oregon,Willamette Valley,Pinot Blanc
"This is likely the last vintage from this vineyard, which the family winery seemingly mastered in this bottling. There's an underlying umami-driven smoked meat backbone to the nose that also shows bold cherry blossom, olallieberry, pepper, dried herbs and blackberry-soy sauce. The palate is complex yet doesn't overpower, with bits of purple flowers, blueberry, black pepper and menthol.",94,28,California,Santa Barbara County,Syrah
"A complex and complete wine with everything in place, this tastes delicious from the first whiff to the lingering finish. It has fresh-baked bread and light peach aromas and white-cherry flavors. Well balanced, it's layered on a subtle level and harmonious.",93,29,California,Anderson Valley,Sparkling Blend
"Sourced entirely from the Chelle den Millie vineyard, the grapes were picked and processed specifically for rosé. A deep, delicious and rather potent summer wine, it captures the brisk cherry fruit without entangling it in too much tannin or herb. It's all about the fruit, and bravo for that.",90,24,Washington,Columbia Valley (WA),Cabernet Franc
"At first, all you sense is a heavy, operatic costume of chocolaty, smoky, coffee-like oak flavors. Underneath these, a ripe and slightly sweet boysenberry soul keeps the drama going. Like a sturdy stage set, the richly laced tannins support the fruit and oak until the curtain falls.",90,25,California,Lodi,Zinfandel
"Part of an interesting lineup of 100% Syrahs, this offers classy, varietal berry fruit with medium concentration. Suggestions of pepper, coffee and anise filter through the finish.",90,25,Washington,Columbia Valley (WA),Syrah
"Exuberant in red fruit, this is a softly textured Zinfandel, high in acidity with evolved tannins. Layered, complex and food-friendly, the imprint of red berry and brambly blackberry juiciness is joined by swirls of nuanced vanilla and a touch of oak. There's a sprinkling of black pepper on the palate, too.",90,29,California,Alexander Valley,Zinfandel
"Cabernet Sauvignon is 75% of the blend, with the other four Bordeaux varieties making up the rest. Scents of Bourbon barrel greet you upon opening. Then black cherry and cassis fruit emerges, with a layer of dark chocolate ripping through the ripe tannins. This is a super effort at this price, from a fine vintage, with excellent concentration.",90,16,Washington,Columbia Valley (WA),Cabernet Sauvignon
"Chalk Line includes all five Bordeaux grapes along with 25% Syrah. The first sniff brings up generous red and purple fruit aromas and pretty, yet restrained, barrel toast. It's well-integrated with medium density and excellent balance.",90,25,Washington,Columbia Valley (WA),Red Blend
"The wines from this collaboration between Charles Smith and Charles Bieler continue to impress. The rosé is mostly Syrah, with small amounts of Cinsault, Grenache, Counoise and Mourvèdre. It's a complex, fashionably stylish take on rosé. Light fruit flavors of berry and melon are detailed and refreshing, with exceptional length on the palate.",90,12,Washington,Columbia Valley (WA),Rosé
"A bright, fresh nose of rose petals, brisk raspberry juice, cranberry, turned earth and a pinch of white pepper makes for a lively wine. The palate begins with juicy strawberry then settles into anise and citrusy spice, an expertly lively wine with chalky texture and vibrant energy. Winemaker Lane Tanner is new at Grenache, but she's rocking it.",93,25,California,Santa Barbara County,Grenache
"A rosé of Grenache, grown in Fair Play, Neophyte is golden peach in color and crisp, with a long, spicy finish. Swirls of cucumber, watermelon and Nilla Wafer add depth to the palate. Only 60 cases made.",91,18,California,Fair Play,Rosé
"Rich in silky bright blackberry fruit, this blend of 54% Cabernet Sauvignon, 38% Tempranillo and 8% Syrah-all varieties that have found a happy home in Lake County-is simply delicious. The leathery earthiness of the Tempranillo shines through most brightly, tempered by the structured tannins of the Cab and given a hit of pepper from the Syrah. Enjoy with roast chicken or smoked salmon.",91,18,California,Lake County,Red Blend
"Chestnut Hill is the winery's highest-elevation vineyard, and in a fine vintage such as this, it merits reserve-level treatment. It would be wonderful if more Oregon wineries made Pinot Gris of this caliber, and could sell it at an approachable price, but it's a tough category. Latch onto this rich and concentrated gem if you can; it's a gorgeous mix of apple, pear, chalk and lightly toasted almonds.",92,28,Oregon,Willamette Valley,Pinot Gris
"Here is an outstanding stainless-fermented Chardonnay, thick and fruity. It's totally loaded with ripe apple and pear-pastry goodness, and the flavors dive deep into a thoroughly delicious, textural finish.",92,22,Oregon,Willamette Valley,Chardonnay
"A full-bodied but not over-the-top Zin that is deliciously fruity, tasting like raspberry jam and fresh blueberries. No overt oak flavors mask the pure enjoyment of well-ripened and carefully fermented grapes. It's extremely smooth, ever so slightly sweet and has a rich, lingering finish.",90,26,California,Amador County,Zinfandel
"Sourced from vines planted 45 years ago, this ripe and floral wine offers classically varietal scents of flowers, while flavors recall pear and peach. The length and detail are excellent.",90,15,Washington,Yakima Valley,Chenin Blanc
"Turbine Red has 45% Grenache, 27% Syrah and 28% Mourvèdre. A burst of bright strawberry fruit focuses around a smooth mouthfeel of more black and red fruit and still-grippy tannins. The finish enters into more classic Syrah and Mourvèdre territory, with leathery, earthy layers nicely intermingling.",90,24,California,Sonoma Coast,Rhône-style Red Blend
"Brightly pink in color, this dry rosé is more flavorful and assertive than it looks. It layers red fruit aromas such as cherry and raspberry on top of equally bright fruit flavors, all carried into the finish with lip-smacking acidity.",90,18,California,Potter Valley,Pinot Noir
"From a dark bottle, this salmon-colored rosé is medium-bodied and made in a bigger style than many others. Fully textured, it discloses flavorful touches of crunchy pear and cranberry. It would go well with a goat cheese salad adorned in dried cranberries and cherries.",90,25,California,Russian River Valley,Pinot Noir
"Barrel fermented in neutral French oak, this mouth-watering Pinot Blanc uses fruit from the Meredith Mitchell and Freedom Hill vineyards. It rested on the lees until bottling, yielding a rich, even creamy wine, with a gentle spiciness and plenty of acidity. A hint of beeswax and the lightest suggestion of toast bring more interest to the finish.",91,24,Oregon,Willamette Valley,Pinot Blanc
"Thistle consistently produces one of Oregon's best Pinot Blancs. This is creamy and fresh, bursting with ripe pear and melon, and streaked with a gentle hint of coconut and vanilla. The lush finish seems to carry on for a full minute or longer.",91,18,Oregon,Dundee Hills,Pinot Blanc
"This is a lovely Syrah. It has a medium-bodied lightness that feels velvety in the mouth, and is packed with sweet blackberry, plum, mocha and bacon flavors, accented with smoky sandalwood. Nice to drink now, and will gain traction over the next 6–8 years.",91,28,California,Russian River Valley,Syrah
"An Eastside Lodi Zin classic with its retention of high acidity and tight tannins, this is a complex wine with spicy leather, black tea and bright raspberry flavors. Elegant, soft and extremely drinkable, it has a smooth mid-palate that lingers to the finish—a parting gift of cherry and vanilla that'll keep you coming back for more.",91,28,California,Lodi,Zinfandel
"This is quintessential Napa Petite Sirah. It's the color of a moonless midnight, showing only some purple at the glass's rim. The tannins are huge and mouth-numbing, while the flavors are extravagantly rich with black cherries and dark chocolate. This is a wine you surely want to cellar. Drink from 2016 and beyond.",91,28,California,St. Helena,Petite Sirah
"Buttery-crusted cranberry pie aromas meet with smoked meats, pencil lead and beef jerky on the nose of this private-label wine by longtime producer Stephen Felten, who has more than 40 years of winemaking experience. The palate shows brown flavors, from dried oregano and marjoram to coffee beans and mocha, with a bit of smoked red-cherry fruit.",93,21,California,San Luis Obispo County,Pinot Noir
"Crisp, dry and searing in acidity, this 100% varietal wine is complex, showing sour lemon and brine notes, with orange blossom tones weaving their way throughout. A delight on the palate, the wine takes on structured weight toward the finish, making sure to leave an impression.",91,22,California,Russian River Valley,Sauvignon Blanc
"This wine displays all of the intensity of expression of Cold Creek. Aromas of toasty spices and pear are light but lead to a full, rich-feeling palate, with the acids providing a perfect counterbalance.",91,25,Washington,Columbia Valley (WA),Chardonnay
"A remarkable shade of slightly purple bubblegum, Kathy Joseph's wine shows strawberries and buttery croissants on the nose. The flavors are boisterous and nearly effervescent, with berries, yeast and a long-lasting sense of strawberry mousse. This one goes down all too easy.",91,22,California,Sta. Rita Hills,Pinot Noir
"Quite ripe raspberry juice, cola, roses and violet candy shows on the nose of this wine from the veteran producer along Highway 101 in southern San Luis Obispo County. The palate offers root beer, cola, cream soda, chocolate-covered cherries and cappuccino elements.",91,25,California,Arroyo Grande Valley,Pinot Noir
"A jump forward in quality for this pure Tempranillo. It opens with a dark, smoky nose—oaky but compelling. The midpalate remains tight and hard, but shows muscular black fruits, good length, and leads nicely into a balanced finish with ripe tannins.",91,28,Washington,Columbia Valley (WA),Tempranillo
"Merlot is certainly one of the real strengths at Fidélitas, and two different versions are offered. This broad and flavorful effort has pretty cherry fruit backed with pleasing baking spices. The finish is focused and precise, adding streaks of cinnamon and chocolate.",91,25,Washington,Columbia Valley (WA),Merlot
"Unbelievable that there's no oak on this Chardonnay. It's so rich and creamy in vanilla, tangerine, peach and apricot flavors, you won't miss that hit of buttered toast. The acidity is marvelous.",91,16,California,Central Coast,Chardonnay
"This is brimming with the tropical fruit, vanilla and honeysuckle flavors typical of Viognier. Dry and elegant, it is ripe, but shows the acidity from the cool 2010 vintage.",91,20,California,Happy Canyon of Santa Barbara,Viognier
"Smooth and chocolaty, this palate-coating Syrah brings ripe black-cherry flavors into a lush and compelling core. Just a hint of leather does not detract from the powerful fruit.",91,24,Washington,Walla Walla Valley (WA),Syrah
"A beautiful rosé bubbly, from the copper-salmon color to the final finish. Made from Pinot Noir and Chardonnay, it's dry and refined, with complex orange, raspberry, vanilla cream, mineral and brioche flavors. Gains extra points for the smoothness of its bubbles.",90,27,California,Anderson Valley,Champagne Blend
"Thick, ripe, creamy and luscious, this 15.4% Sémillon carries itself with grace and style. The dense fruit flavors mix peaches, apricots, pears and spicy apples; with a hint of caramel and brown sugar. Though quite dry, it has so much fruit as to seem lightly sweet, and the high alcohol does not take away from the complexity. If it were not fermented dry, this would be a stunning late harvest dessert wine.",90,19,Washington,Columbia Valley (WA),Sémillon
"You'll barely notice a touch of oak on this dry wine. It shows the zesty acidity and varietal purity of all Edna Valley whites, with citrus, lychee, tart green apple and white pepper flavors that stimulate the palate and prepare it for food. A very nice job in a restaurant-style Sauvignon Blanc.",90,18,California,Edna Valley,Sauvignon Blanc
"Labeled dry and tasting very much so, this clean, floral-scented Gewürztraminer has a pleasingly dusty aspect; rose petals with a thin veneer of incense. Long and complex.",90,14,Oregon,Rogue Valley,Gewürztraminer
"Here's a very rich, elaborate wine that defines the modern, ripe style of Zinfandel. You certainly can't complain about the fruit, which is massive in red and black berry and stone fruit flavors, sprinkled with black pepper, cinnamon and star anise. It's a little hot and sweet in alcohol, but then again, this is an Alexander Valley Zin.",90,28,California,Alexander Valley,Zinfandel
"Virtually identical with Pinot Noir, and quite a good one at that. Shows cool-climate influence in the translucent color, vital acidity and pure flavors of raspberries and persimmons, accented with smoky oak.",90,24,California,Sonoma Mountain,Pinot Meunier
"That this small-lot Lodi producer has ventured out to the Russian River Valley for Zinfandel says something here and it says it with finesse, this being austere for Zin, not jammy, with enviable structure and a nice lift of black cherry, spicy cola and earth at the end.",90,28,California,Russian River Valley,Zinfandel
"This is at the sweetest edge of off dry (alcohol at 9%, residual sugar 5.1%) and it is loaded with citrus fruit—especially ripe orange—that keeps it lively and refreshing. A well-made, full-bodied Riesling that lingers gracefully through the finish, with a streak of lemon tea.",90,12,Oregon,Willamette Valley,Riesling
"Somewhat light in color, this wine offers pleasing notes of flowers, milk chocolate, vanilla extract, herbs and carob. It's light and silky in feel with abundant milk chocolate and cherry flavors that linger.",91,27,Washington,Horse Heaven Hills,Cabernet Franc
"Floral and herbal from the get-go, this medium-bodied white from a great vineyard offers a lot to like. Stainless-steel fermentation gives it a lean underbelly, rounded out by sharp Meyer lemon and tangerine, buoyed by mouthwatering acidity. Green apple and an accent of honey peak on the finish.",91,23,California,Russian River Valley,Sauvignon Blanc
"As fresh as a young white wine can be, this sappy Riesling opens with lovely floral aromas, that lend the palate a bit of Gewürztraminer-like soapiness. It turns spicy and penetrating, with Meyer lemon and other expressions of tart citrus.",90,17,Washington,Columbia Valley (WA),Riesling
"A Bordeaux-style blend of Cabernet, Malbec and Merlot, this bright and grapy effort pleasingly integrates slightly rougher notes of earth, leaf and stem. It all works here, adding texture and detail to the tart berry fruits. Drink in the next 3–5 years.",90,27,Washington,Columbia Valley (WA),Bordeaux-style Red Blend
"Ottomino consistently has success with this single-vineyard Zinfandel. As always, it's dry, smoothly tannic and complex, with flavors of wild berry, tobacco, chocolate and spice.",90,29,California,Russian River Valley,Zinfandel
"A clean, spicy Chardonnay, with classic flavors of oranges, green apples, pears and spices. The oak influence is minimal, allowing the fruit and acidity to star. This shows an elegance that places it at the forefront of Chardonnays in this price range.",90,13,California,Napa Valley,Chardonnay
